id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,pymnt_plan,url,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt
68476702,28000,28000,28000,36 months,13.44,949.38,C,C3,Director of Product Development ,2 years,OWN,125000,Source Verified,15-Dec,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=68476702,,debt_consolidation,Debt consolidation,100xx,NY,7.49,0,33320.39332,33320.39,28000,5320.39,0,0,0,Dec-17,12486.3
68436666,5000,5000,5000,36 months,13.44,169.54,C,C3,General Manager,2 years,RENT,79000,Verified,15-Dec,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=68436666,,credit_card,Credit card refinancing,214xx,MD,12.7,0,6117.453197,6117.45,5000,1117.45,0,0,0,Jan-19,169.17
68476715,6000,6000,6000,36 months,7.49,186.61,A,A4,Analyst,10+ years,MORTGAGE,100000,Not Verified,15-Dec,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=68476715,,debt_consolidation,Debt consolidation,750xx,TX,13.28,1,6711.710106701999,6711.71,6000,711.71,0,0,0,Jan-19,186.6
67849662,4225,4225,4225,36 months,14.85,146.16,C,C5,mechanic,5 years,RENT,35000,Source Verified,15-Dec,Charged Off,n,https://lendingclub.com/browse/loanDetail.action?loan_id=67849662,,debt_consolidation,Debt consolidation,672xx,KS,15.22,2,2558.87,2558.87,1536.9,653.6,0,368.37,66.3066,Apr-17,146.16
68596180,20000,20000,20000,36 months,5.32,602.3,A,A1,driver,9 years,OWN,65000,Not Verified,15-Dec,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=68596180,,debt_consolidation,Debt consolidation,125xx,NY,18.83,0,21631.724328904198,21631.72,20000,1631.72,0,0,0,Aug-18,3577.5
68526907,16000,16000,16000,60 months,17.97,406.04,D,D4,Professional Sales Associate,< 1 year,MORTGAGE,109000,Source Verified,15-Dec,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=68526907,,debt_consolidation,Debt consolidation,880xx,NM,23.35,0,17471.57,17471.57,16000,1471.57,0,0,0,Jul-16,15481.3
68607141,17600,17600,17600,36 months,5.32,530.03,A,A1,Network Security Specialist III,< 1 year,MORTGAGE,88000,Source Verified,15-Dec,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=68607141,,credit_card,Credit card refinancing,672xx,KS,26.59,0,18305.08,18305.08,17600,705.08,0,0,0,Nov-16,17.88
68526883,15000,15000,15000,36 months,5.32,451.73,A,A1,DEPUTY SHERIFF,10+ years,MORTGAGE,44000,Source Verified,15-Dec,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=68526883,,home_improvement,Home improvement,238xx,VA,15.34,0,16280.562475856399,16280.56,15000,1257.97,22.59,0,0,Jan-19,455.59
67715283,16000,16000,16000,36 months,12.88,538.18,C,C2,"Owner, Fee Appraiser ",10+ years,MORTGAGE,65000,Not Verified,15-Dec,Charged Off,n,https://lendingclub.com/browse/loanDetail.action?loan_id=67715283,,small_business,Business,354xx,AL,18.96,0,17396.63,17396.63,13833.12,3402.05,161.46,0,0,Nov-18,565.09
68341789,24250,24250,24250,60 months,24.24,701.01,F,F3,hvac technician,4 years,MORTGAGE,75000,Not Verified,15-Dec,Charged Off,n,https://lendingclub.com/browse/loanDetail.action?loan_id=68341789,,debt_consolidation,,114xx,NY,20.84,0,4124.42,4124.42,1332.69,2791.73,0,0,0,Jul-16,701.01
68533595,12000,12000,12000,36 months,10.78,391.62,B,B4,Public Affairs Specialist ,1 year,RENT,98000,Not Verified,15-Dec,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=68533595,,debt_consolidation,Debt consolidation,993xx,WA,24.04,0,13349.66559,13349.67,12000,1349.67,0,0,0,Apr-17,7884.96
68415473,25000,25000,25000,60 months,13.99,581.58,C,C4,Executive Assistant,9 years,MORTGAGE,79000,Not Verified,15-Dec,Charged Off,n,https://lendingclub.com/browse/loanDetail.action?loan_id=68415473,,debt_consolidation,Debt consolidation,212xx,MD,34.53,0,14490.92,14490.92,8364.55,6126.37,0,0,0,Feb-18,581.58
68537655,16800,16800,16800,60 months,12.88,381.23,C,C2,CEO,10+ years,MORTGAGE,118000,Not Verified,15-Dec,Current,n,https://lendingclub.com/browse/loanDetail.action?loan_id=68537655,,debt_consolidation,Debt consolidation,636xx,MO,34.29,0,14456.69,14456.69,9365.57,5091.12,0,0,0,Feb-19,381.23
68446769,7000,7000,7000,36 months,7.49,217.72,A,A4,Carrier,10+ years,MORTGAGE,59000,Not Verified,15-Dec,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=68446769,,credit_card,Credit card refinancing,215xx,MD,13.06,1,7806.099471192901,7806.1,7000,806.1,0,0,0,Oct-18,425.19
68367011,21000,21000,21000,60 months,13.99,488.53,C,C4,Resident physician,< 1 year,RENT,52000,Source Verified,15-Dec,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=68367011,,credit_card,Credit card refinancing,441xx,OH,14.47,0,27285.807861269102,27285.81,21000,6285.81,0,0,0,Aug-18,12548.3
68407301,27500,27500,27500,60 months,14.85,652.06,C,C5,Manager,10+ years,MORTGAGE,195000,Not Verified,15-Dec,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=68407301,,other,Other,710xx,LA,6.79,0,29753.17,29753.17,27500,2253.17,0,0,0,Aug-16,25897.53
68356614,7200,7200,7200,36 months,11.48,237.36,B,B5,Legal Administrative Assistant,10+ years,MORTGAGE,72500,Verified,15-Dec,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=68356614,,home_improvement,Home improvement,300xx,GA,8.47,0,8253.861926,8253.86,7200,1053.86,0,0,0,Sep-17,3755.5
68426865,20000,20000,20000,36 months,14.85,691.84,C,C5,GM,6 years,RENT,110000,Not Verified,15-Dec,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=68426865,,credit_card,Credit card refinancing,606xx,IL,12.45,0,24889.01336,24889.01,20000,4889.01,0,0,0,Dec-18,1407.7
68476676,20000,20000,20000,36 months,15.77,700.88,D,D1,Clinical Intake,5 years,RENT,70000,Not Verified,15-Dec,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=68476676,,house,Home buying,331xx,FL,22.21,0,21780.58678,21780.59,20000,1780.59,0,0,0,Dec-16,2815.6
68566951,10000,10000,10000,60 months,17.97,253.78,D,D4,Educator ,2 years,MORTGAGE,55000,Not Verified,15-Dec,Charged Off,n,https://lendingclub.com/browse/loanDetail.action?loan_id=68566951,,credit_card,Credit card refinancing,802xx,CO,35.7,0,5558.2,5558.2,2687.15,2871.05,0,0,0,Nov-17,253.78
68615044,16000,16000,16000,60 months,13.99,372.21,C,C4,Registered Nurse,9 years,MORTGAGE,142000,Verified,15-Dec,Current,n,https://lendingclub.com/browse/loanDetail.action?loan_id=68615044,,debt_consolidation,Debt consolidation,945xx,CA,17.74,2,14112.89,14112.89,8813.94,5298.95,0,0,0,Feb-19,372.21
68527009,20000,20000,20000,36 months,9.8,643.47,B,B3,Manager,5 years,RENT,75000,Not Verified,15-Dec,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=68527009,,debt_consolidation,Debt consolidation,984xx,WA,23.45,0,21918.8165,21918.82,20000,1918.82,0,0,0,Mar-17,13580.93
68547583,8650,8650,8650,36 months,5.32,260.5,A,A1,Associate Consultant,< 1 year,MORTGAGE,100000,Not Verified,15-Dec,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=68547583,,credit_card,Credit card refinancing,462xx,IN,7.28,0,9263.849333086899,9263.85,8650,613.85,0,0,0,Dec-17,2.08
68587709,21000,21000,21000,60 months,13.44,482.56,C,C3,Teacher,2 years,RENT,54649,Source Verified,15-Dec,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=68587709,,debt_consolidation,Debt consolidation,761xx,TX,12.14,0,24473.22762,24473.23,21000,3473.23,0,0,0,May-17,17274.03
68446771,7200,7200,7200,36 months,15.77,252.32,D,D1,Bank Officer Senior Customer Care Spec.,< 1 year,RENT,55000,Not Verified,15-Dec,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=68446771,,debt_consolidation,,142xx,NY,17.35,0,8894.319824248001,8894.32,7200,1694.32,0,0,0,Mar-18,2602.09
66796130,8800,8800,8800,36 months,9.8,283.13,B,B3,Sales Representative/ Agent,10+ years,MORTGAGE,92000,Source Verified,15-Dec,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=66796130,,credit_card,Credit card refinancing,493xx,MI,5.18,0,9852.877877,9852.88,8800,1052.88,0,0,0,Aug-17,4768.52
68617034,14650,14650,14650,60 months,20.5,392.23,E,E4,Senior Service Specialist,2 years,RENT,43160,Verified,15-Dec,Current,n,https://lendingclub.com/browse/loanDetail.action?loan_id=68617034,,debt_consolidation,Debt consolidation,430xx,OH,21.44,0,14908.17,14908.17,7507.75,7400.42,0,0,0,Mar-19,392.23
68387134,2500,2500,2500,36 months,17.27,89.47,D,D3,Teacher,10+ years,MORTGAGE,50000,Verified,15-Dec,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=68387134,,other,Other,330xx,FL,17.6,3,3213.299411,3213.3,2500,713.3,0,0,0,Nov-18,266.79
68566925,11000,11000,11000,36 months,9.17,350.67,B,B2,PRINTER,10+ years,MORTGAGE,69000,Not Verified,15-Dec,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=68566925,,credit_card,Credit card refinancing,441xx,OH,21.34,0,12610.02875,12610.03,11000,1610.03,0,0,0,Jan-19,350.59
68516838,23850,23850,23850,60 months,17.27,596.21,D,D3,Teacher,10+ years,OWN,68046,Not Verified,15-Dec,Current,n,https://lendingclub.com/browse/loanDetail.action?loan_id=68516838,,debt_consolidation,Debt consolidation,231xx,VA,24.71,1,22610.21,22610.21,12675.75,9934.46,0,0,0,Mar-19,596.21
68476697,15700,15700,15700,60 months,16.59,386.74,D,D2,Teacher,6 years,MORTGAGE,48000,Not Verified,15-Dec,Current,n,https://lendingclub.com/browse/loanDetail.action?loan_id=68476697,,credit_card,Credit card refinancing,707xx,LA,29.13,0,14659.94,14659.94,8407.37,6252.57,0,0,0,Feb-19,386.74
68566856,28800,28800,28800,60 months,11.99,640.5,C,C1,Office Manager,10+ years,OWN,60000,Not Verified,15-Dec,Current,n,https://lendingclub.com/browse/loanDetail.action?loan_id=68566856,,debt_consolidation,Debt consolidation,331xx,FL,18.01,0,24291.04,24291.04,16206.73,8084.31,0,0,0,Feb-19,640.5
68543413,10000,10000,10000,36 months,12.88,336.37,C,C2,Contract Specialist,4 years,MORTGAGE,91392,Not Verified,15-Dec,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=68543413,,house,Home buying,644xx,MO,9.44,0,11316.89019,11316.89,10000,1316.89,0,0,0,Mar-17,6961.97
68366663,24000,24000,24000,60 months,9.8,507.58,B,B3,,,OWN,77900,Not Verified,15-Dec,Current,n,https://lendingclub.com/browse/loanDetail.action?loan_id=68366663,,home_improvement,Home improvement,376xx,TN,10.24,0,19255.37,19255.37,13817.43,5437.94,0,0,0,Feb-19,507.58
68416916,28000,28000,28000,60 months,18.49,718.51,D,D5,Engineer,10+ years,MORTGAGE,75000,Verified,15-Dec,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=68416916,,debt_consolidation,Debt consolidation,471xx,IN,31.88,0,39607.45188,39607.45,28000,11607.45,0,0,0,Oct-18,16687.04
68444620,35000,35000,35000,60 months,11.99,778.38,C,C1,Foreign Service Officer,10+ years,MORTGAGE,128000,Source Verified,15-Dec,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=68444620,,home_improvement,Home improvement,200xx,DC,6.46,0,44358.9107,44358.91,35000,9358.91,0,0,0,Dec-18,17952.27
68082535,7200,7200,7200,36 months,9.17,229.53,B,B2,Site lead,10+ years,MORTGAGE,50000,Not Verified,15-Dec,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=68082535,,debt_consolidation,Debt consolidation,015xx,MA,19.25,0,7598.05,7598.05,7200,398.05,0,0,0,Aug-16,6206.89
68466995,10000,10000,10000,36 months,7.91,312.95,A,A5,Teacher,2 years,RENT,40100,Not Verified,15-Dec,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=68466995,,credit_card,Credit card refinancing,453xx,OH,10.81,0,11255.154658058998,11255.15,10000,1255.15,0,0,0,Jan-19,312.89
68584507,16000,16000,16000,60 months,13.44,367.67,C,C3,Merchandise Manager,1 year,RENT,42000,Not Verified,15-Dec,Charged Off,n,https://lendingclub.com/browse/loanDetail.action?loan_id=68584507,,credit_card,Credit card refinancing,019xx,MA,9.6,0,4382.17,4382.17,2406.29,1975.88,0,0,0,Jan-17,367.67
68466924,21875,21875,21875,36 months,11.99,726.46,C,C1,Wire Technician,< 1 year,RENT,47590,Source Verified,15-Dec,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=68466924,,credit_card,Credit card refinancing,347xx,FL,17.76,0,25851.272805365097,25851.27,21875,3976.27,0,0,0,Mar-18,7662.31
68367009,14025,14025,14025,60 months,18.49,359.9,D,D5,accts payable,10+ years,MORTGAGE,39000,Verified,15-Dec,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=68367009,,debt_consolidation,Debt consolidation,546xx,WI,18,0,16341.39079,16341.39,14025,2316.39,0,0,0,Dec-16,12764.01
68475450,35000,35000,35000,60 months,12.88,794.21,C,C2,Lieutenant ,7 years,MORTGAGE,106000,Source Verified,15-Dec,Charged Off,n,https://lendingclub.com/browse/loanDetail.action?loan_id=68475450,,debt_consolidation,Debt consolidation,351xx,AL,17.36,0,22968.61,22968.61,10323.88,7086.13,0,5558.6,1000.548,Nov-17,794.21
68525943,20000,20000,20000,36 months,12.88,672.73,C,C2,President,10+ years,MORTGAGE,145000,Not Verified,15-Dec,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=68525943,,debt_consolidation,Debt consolidation,029xx,RI,12.28,0,24273.87839,24273.88,20000,4206.6,67.28,0,0,Mar-19,764.11
68340446,14000,14000,14000,60 months,14.85,331.96,C,C5,Accountant,2 years,MORTGAGE,60000,Not Verified,15-Dec,Charged Off,n,https://lendingclub.com/browse/loanDetail.action?loan_id=68340446,,debt_consolidation,,852xx,AZ,24.29,0,7458.9,7458.9,3175.67,2770.73,16.6,1495.9,269.262,Jul-17,331.96
68615169,16000,16000,16000,60 months,8.49,328.19,B,B1,Supervisor,5 years,MORTGAGE,62000,Source Verified,15-Dec,In Grace Period,n,https://lendingclub.com/browse/loanDetail.action?loan_id=68615169,,credit_card,Credit card refinancing,936xx,CA,28.92,0,12430.1,12430.1,9335.61,3094.49,0,0,0,Feb-19,328.19
68397043,28000,28000,28000,60 months,14.85,663.92,C,C5,Division General Manager,2 years,MORTGAGE,85000,Not Verified,15-Dec,Current,n,https://lendingclub.com/browse/loanDetail.action?loan_id=68397043,,debt_consolidation,Debt consolidation,300xx,GA,28.52,0,25171.21,25171.21,15281.88,9889.33,0,0,0,Feb-19,663.92
68506862,20000,20000,20000,60 months,13.99,465.27,C,C4,Facilities Coordinator,10+ years,OWN,70000,Source Verified,15-Dec,Charged Off,n,https://lendingclub.com/browse/loanDetail.action?loan_id=68506862,,debt_consolidation,Debt consolidation,210xx,MD,16.9,0,15473.02,15473.02,2965.17,2592.85,0,9915,1784.7,Jan-17,465.27
68341799,17600,17600,17600,60 months,19.89,465.22,E,E3,RN,< 1 year,RENT,44000,Verified,15-Dec,Current,n,https://lendingclub.com/browse/loanDetail.action?loan_id=68341799,,credit_card,,322xx,FL,17.56,0,17629.74,17629.74,9082.31,8547.43,0,0,0,Feb-19,465.22
68487261,4200,4200,4200,36 months,13.44,142.41,C,C3,Manager,10+ years,MORTGAGE,102500,Not Verified,15-Dec,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=68487261,,debt_consolidation,Debt consolidation,134xx,NY,26.21,0,5118.759264685999,5118.76,4200,918.76,0,0,0,Jan-19,142.25
68597047,19000,19000,19000,60 months,14.85,450.52,C,C5,Application Analyst,9 years,OWN,75000,Not Verified,15-Dec,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=68597047,,credit_card,Credit card refinancing,112xx,NY,13.09,0,21165.03735,21165.04,19000,2165.04,0,0,0,Feb-17,10797.99
68366999,15850,15850,15850,60 months,23.13,448.01,F,F2,Lead manufacturing ,10+ years,OWN,45000,Not Verified,15-Dec,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=68366999,,debt_consolidation,Debt consolidation,440xx,OH,34.85,0,21481.26095,21481.26,15850,5631.26,0,0,0,Sep-17,13019.99
68506885,10000,10000,10000,60 months,11.99,222.4,C,C1,CARDIOVASCULAR TECH,10+ years,RENT,42500,Not Verified,15-Dec,Current,n,https://lendingclub.com/browse/loanDetail.action?loan_id=68506885,,debt_consolidation,Debt consolidation,460xx,IN,31.04,0,8434.55,8434.55,5627.53,2807.02,0,0,0,Feb-19,222.4
68394562,30000,30000,30000,36 months,15.77,1051.31,D,D1,Vice-President,2 years,MORTGAGE,175000,Not Verified,15-Dec,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=68394562,,home_improvement,Home improvement,430xx,OH,18.5,0,33903.76574,33903.77,30000,3903.77,0,0,0,Dec-16,23456.38
68416953,1500,1500,1500,36 months,6.49,45.97,A,A2,,,MORTGAGE,45000,Not Verified,15-Dec,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=68416953,,vacation,Vacation,967xx,HI,16.11,0,1598.9833648167998,1598.98,1500,98.98,0,0,0,Apr-17,956.75
68587652,25000,25000,25000,36 months,5.32,752.87,A,A1,Director,1 year,MORTGAGE,150000,Not Verified,15-Dec,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=68587652,,credit_card,Credit card refinancing,054xx,VT,9.54,0,27033.110864247403,27033.11,25000,2033.11,0,0,0,Dec-18,752.86
68407333,16250,16250,16250,60 months,13.44,373.41,C,C3,Radiology Tech.,2 years,MORTGAGE,50000,Not Verified,15-Dec,Current,n,https://lendingclub.com/browse/loanDetail.action?loan_id=68407333,,debt_consolidation,Debt consolidation,128xx,NY,34.95,0,14159.25,14159.25,9004.68,5154.57,0,0,0,Feb-19,373.41
68466066,20200,20200,20200,60 months,18.49,518.35,D,D5,Manager,4 years,RENT,60000,Source Verified,15-Dec,Charged Off,n,https://lendingclub.com/browse/loanDetail.action?loan_id=68466066,,debt_consolidation,Debt consolidation,958xx,CA,34.84,0,9278.43,9278.43,4258.61,5019.82,0,0,0,Jul-17,518.35
68436934,23975,23975,23975,60 months,19.89,633.73,E,E3,Principal,10+ years,RENT,70000,Not Verified,15-Dec,Charged Off,n,https://lendingclub.com/browse/loanDetail.action?loan_id=68436934,,credit_card,Credit card refinancing,220xx,VA,33.2,0,3928.86,3928.86,1478.13,2450.73,0,0,0,Jul-16,633.73
68617057,15000,15000,15000,60 months,10.78,324.5,B,B4,Senior Buyer,10+ years,MORTGAGE,65000,Not Verified,15-Dec,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=68617057,,debt_consolidation,Debt consolidation,350xx,AL,29.28,0,18520.2766,18520.28,15000,3520.28,0,0,0,Feb-19,2536.24
68536799,10000,10000,10000,36 months,10.78,326.35,B,B4,Lpn,3 years,MORTGAGE,41600,Not Verified,15-Dec,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=68536799,,debt_consolidation,Debt consolidation,472xx,IN,15.78,0,11289.950688135401,11289.95,10000,1289.95,0,0,0,Jul-17,5756.97
